model,reasoning_effort,total_cost,duration_seconds,total_tokens,tokens_per_second,cost_per_conversation,performance_index
gpt-5,minimal,0.05770875,19.19,30431,1585.7738405419489,0.01154175,2.6373776702275413
gpt-5,low,0.11136875,51.99,35797,688.5362569724947,0.022273750000000002,2.3808276189172664
gpt-5,medium,0.23833875000000002,133.71,48494,362.680427791489,0.04766775,1.7583619996290616
gpt-5,high,0.40422875,274.3,65083,237.26941305140357,0.08084575000000001,0.818181818181818
gpt-5-mini,minimal,0.01032775,13.91,30808,2214.8094895758445,0.00206555,2.95685973229165
gpt-5-mini,low,0.01491375,19.93,32621,1636.7787255393878,0.00298275,2.7410448275228343
gpt-5-mini,medium,0.04204575,64.06,46175,720.8086169216359,0.00840915,2.5079621999241377
gpt-5-mini,high,0.10816575,172.75,79235,458.66859623733717,0.02163315,2.026553319220778
gpt-5-nano,minimal,0.00218635,7.81,30126,3857.3623559539055,0.00043727,2.9090909090909087
gpt-5-nano,low,0.00295595,12.36,33034,2672.653721682848,0.00059119,2.799193780819529
gpt-5-nano,medium,0.013427149999999999,56.51,58720,1039.1081224562024,0.00268543,1.9711128724273421
gpt-5-nano,high,0.027579150000000004,159.26,94604,594.0223533844029,0.005515830000000001,1.368526484415253
