Government tax agency requesting payment or personal ID verification.,"The caller (scammer) claims to be from the national tax authority and tells the callee there is an outstanding tax balance or an error in recent filings that must be fixed immediately. The caller warns that failure to act will result in legal action, frozen accounts, or seizure of assets. The caller instructs the callee to provide personal identification details such as a national ID number, tax number, or bank information, or to make an immediate payment through methods like wire transfer, prepaid card, or cryptocurrency."
Housing authority threatening suspension of benefits or eviction.,"The caller (scammer) claims to be from the housing authority and tells the callee there is an issue with their housing account, such as unpaid fees, missing paperwork, or a policy violation. The caller warns that housing benefits may be stopped or other penalties applied if the matter is not resolved right away. The caller instructs the callee to provide personal documents like identification, bank details, or proof of income, or to make an immediate payment through methods such as wire transfer, prepaid card, or mobile payment service."
Law enforcement claiming a warrant or family member’s arrest.,"The caller (scammer) claims to be from law enforcement and tells the callee that there is an active warrant for their arrest or that a family member has been taken into custody. The caller says the situation can be resolved immediately if the callee pays a fine or posts bail, and warns that failure to do so will lead to court action or jail time. The caller instructs the callee to send money through wire transfer, prepaid cards, or cryptocurrency, or to provide personal information needed to “process” the case."
Utility service threatening electricity/water cutoff.,"The caller (scammer) claims to be from the local utility provider and tells the callee that their electricity or water account is overdue or has a billing error. The caller warns that service will be disconnected within hours if the balance is not cleared immediately. The caller instructs the callee to make a payment through wire transfer, prepaid card, mobile payment app, or other non-traceable methods, sometimes asking for personal or billing details to “update” the account."
Company executive requesting urgent payment or wire transfer.,"The caller (scammer) claims to be a senior executive at the callee’s company and says a confidential, time-sensitive business deal or emergency expense requires immediate payment. The caller insists that the funds must be transferred right away to secure the deal or prevent serious financial loss, instructing the callee to send the money via wire transfer or other fast, non-reversible methods, and to keep the matter secret from other staff."
IT department asking for passwords or remote access to fix a “security issue.”,"The caller (scammer) claims to be from the company’s IT department and tells the callee that unusual activity or a security breach has been detected on their account or device. The caller says immediate action is required to prevent data loss or system shutdown, instructing the callee to provide their login credentials, verification codes, or grant remote access to their computer so the “issue” can be fixed."
HR requesting bank info to resolve payroll issues.,"The caller (scammer) claims to be from the callee’s human resources department and says there is a payroll error or delay that is preventing their salary from being deposited. The caller tells the callee the issue can be fixed immediately if they provide updated bank account details, routing numbers, or other personal financial information, warning that payment will be further delayed if the information is not received right away."
Colleague requesting confidential project data or shared access.,"The caller (scammer) claims to be a colleague working on the same project as the callee and says they urgently need access to confidential files or systems to meet a deadline. The caller asks the callee to share project documents, provide login credentials, or grant shared access rights, warning that the project will fail or face penalties if the request is not fulfilled immediately."
Partner company/vendor asking to update billing or banking details.,"The caller (scammer) claims to be from a partner company or vendor that regularly works with the callee’s organization and says their billing or banking information has recently changed. The caller instructs the callee to update payment records and send future payments to a new account, warning that outstanding invoices will remain unpaid or services will be halted if the update is not made immediately."
"Fake recruiter/employer offering high-pay jobs for little work, demanding upfront fees or personal info.","The caller (scammer) claims to be a recruiter or employer offering the callee a high-paying job with minimal duties, saying the position must be filled quickly. The caller tells the callee they need to pay upfront fees for training, equipment, or processing, or provide personal information such as identification numbers and banking details to secure the role, warning that the opportunity will be lost if they do not respond immediately."
